Source,Reference,Translation
"Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs.","Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","Російский президент Владимир Путин подписал закон о введении административной ответственности за нарушение сроков и процедур оплаты товаров (работ, услуг) в рамках закупок для государственных и муниципальных нужд."
This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.,Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,Этот закон призван решить очень серьёзную проблему невыполнения обязательств клиентами в рамках государственных и муниципальных закупок.
"Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread.","Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","Помимо двух лет atrás ситуация, когда бизнесмены не могли получить оплату за уже выполненные государственными и муниципальными контрактами, были широко распространены."
"At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control.",Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,В то время президент России назначил Прокуратуру России заниматься этой проблемой в особом порядке.
"After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements.","Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","На самом деле бизнесмены не могли справиться самостоятельно с нечестными клиентами, которые подписывали соглашения без финансовой гарантии, пытались вырваться из предполагаемых платежных обязательств и включали нелегальные условия в соглашения."
The problem was systemic throughout the entire country.,Проблема была системной в целом в стране.,Проблема была системной по всему стране.
"Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them.","С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","С 2015 года в интересах обеспечения защиты прав бизнесменов на получение оплаты за государственные контракты было подано 9 700 исков к Прокуратуре: по результатам их расследований 4 500 сотрудников были привлечены к административным мерам, 533 человека были признаны административно виновными; в 75 дел было направлено в органы расследования для проверки, в 46 из них было начато уголовное преследование."
"In sum, more than 66 billion rubles worth of debt owed to business owners was repaid.",В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,"В итоге более 66 миллиардов рублей задолженности, которыеowен бизнес-владельцам, были погащены."
"Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts.",Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"Помимо этого, эти внушительные суммы ни в коем случае не были получены за неуплату контрактов на миллиарды рублей."
Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.,"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.","Помимо этого, множество систематических задержек платежей за услуги, которые бизнесмены получали за значительно более скромные суммы, привели к этим завышенным долгам."
Here is a typical case.,Вот характерный случай.,Это типичный случай.
The head of a small company won a tender for the provision of social transport services worth several million rubles.,Руководитель небольшой компании выиграл конкурс на оказание услуг по социальным перевозкам на несколько миллионов рублей.,Ма Injectable шефа малого предприятия выиграл тендер на поставку социальных транспортных услуг на несколько миллионов рублей.
"The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due.","Человек вложил все свои оборотные средства, полностью выполнил обязательства, но положенные деньги в срок не получил.","Человек вложил все свои оборотные средства, полностью выполнил свои обязательства, но не получил назначенные деньги в назначенный срок."
