Source,Reference,Translation
"Russian President Vladimir Putin has signed a law on the establishment of administrative liability for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs.","Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для государственных и муниципальных нужд.","Президент России Владимир Путин подписал закон о введении административной ответственности за нарушение срока и процедуры оплаты товаров (работ, услуг) в рамках закупок для государственных и муниципальных нужд."
This law is meant to solve the very serious issue of customers failing to fulfill their commitments as part of state and municipal procurements.,Этот закон призван решить весьма острую проблему неисполнения своих обязательств заказчиками при осуществлении государственных и муниципальных закупок.,"Эта закона предназначена для решения очень серьезной проблемы клиентов, которые не выполняют свои обязательства в рамках государственных и муниципальных закупок."
"Just two years ago, situations in which business owners were unable to collect payment for already-executed state and municipal contracts were widespread.","Еще два года назад ситуация, когда предприниматели не могли получить оплату по уже исполненным государственным и муниципальным контрактам, была повсеместной.","В прошлом году ситуации, когда владельцы бизнеса не могли получить оплату за уже выполненные государственные и муниципальные контракты, были распространены."
"At that time, the Russian president tasked the Office of Prosecutor General of the Russian Federation with taking the issue under special control.",Тогда же президент России дал поручение Генеральной прокуратуре РФ взять проблему на особый контроль.,В то время президент России поручил Генеральному прокурору Российской Федерации взять это дело под специальный контроль.
"After all, businessmen couldn’t deal on their own with dishonest customers who signed agreements without financial backing, tried their best to get out of assumed payment commitments, and included illegal conditions in agreements.","Потому что сами бизнесмены не могли справиться с недобросовестными заказчиками, которые заключали не подкрепленные финансированием контракты, всячески пытались уклониться от взятых обязательств по оплате и включали в договоры незаконные условия.","В конце концов, бизнесмены не могли самостоятельно справиться с недобросовестными клиентами, которые подписывали соглашения без финансовой поддержки, старались на все силы избежать обязательств по платежам и включали в соглашения незаконные условия."
The problem was systemic throughout the entire country.,Проблема была системной в целом в стране.,The problem was systemic throughout the entire country.
"Since 2015, 9,700 petitions, in the interests of protecting the rights of business owners to receive payment for public contracts, were filed by the Office of the Prosecutor General: according to the results of their investigations, 4,500 officials were subject to disciplinary measures, and 533 were held administratively liable; 75 cases were submitted to the investigative authorities for procedural review, and criminal proceedings were initiated in 46 of them.","С 2015 года в интересах защиты прав предпринимателей на получение оплаты по публичным заказам прокуратурой внесено 9,7 тыс. представлений, по результатам их рассмотрения к дисциплинарной ответственности привлечено 4,5 тыс. должностных лиц, к административной - 533, в следственные органы для организации процессуальных проверок представлено 75 материалов, по 46 из них возбуждены уголовные дела.","С 2015 года, Офис Генерального прокурора подал 9,700 петиций в интересах защиты прав предпринимателей на получение оплаты за государственные контракты. В результате их расследований, 4,500 чиновников были подвергнуты дисциплинарным мерам, 533 - административной ответственности; 75 дел были переданы в правоохранительные органы для процедурного рассмотрения, и в 46 из них были начаты уголовные дела."
"In sum, more than 66 billion rubles worth of debt owed to business owners was repaid.",В итоге была погашена задолженность перед предпринимателями на сумму более 66 млрд рублей.,"В целом, более 66 миллиардов рублей долга, который был предъявлен бизнес-owners, был погашен."
"Notably, these vast sums were by no means accrued as a result of non-payment of multibillion-ruble contracts.",Причем эти огромные суммы накапливались далеко не в результате неоплаты многомиллиардных контрактов.,"В частности, эти огромные суммы не были заработаны в результате неоплаты контрактов на млрд рублей."
Numerous systematic delays in payment for services to business owners for considerably more modest amounts led to these jaw-dropping debts.,"К баснословным долгам привели многочисленные, систематические задержки по оплате услуг предпринимателям на куда более скромные суммы.",Многие систематические задержки в платежах за услуги для предпринимателей за значительно более скромные суммы привели к этим удручающим долгам.
Here is a typical case.,Вот характерный случай.,"Here is a typical case.
Перевод:"
The head of a small company won a tender for the provision of social transport services worth several million rubles.,Руководитель небольшой компании выиграл конкурс на оказание услуг по социальным перевозкам на несколько миллионов рублей.,"Глава небольшой компании выиграла тендер на предоставление социальных транспортных услуг, стоимостью несколько миллионов рублей."
"The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due.","Человек вложил все свои оборотные средства, полностью выполнил обязательства, но положенные деньги в срок не получил.","The person invested all of their working capital, fully satisfied their commitments, but didn’t receive the allotted money when it was due."
"The result is an escalating financial snowball comprised of payroll, tax, and loan liabilities, which would have led to bankruptcy if the business owner hadn’t approached the prosecutor’s office for assistance.","Результат - нарастающий финансовый ком из долгов по зарплатам, налогам, кредитам, который привел бы к банкротству, если бы предприниматель не обратился за помощью в прокуратуру.","Результат является обвалом финансов, включая зарплатные, налоговые и кредитные обязательства, которые бы привели к банкротству, если бы бизнесмен не обратился в прокурорскую office за помощью."
"Now, in a number of regions, they have managed to mitigate the problem to the greatest extent possible.",Сейчас в ряде регионов проблему удалось максимально нивелировать.,Теперь в ряде регионов они смогли снизить проблему до минимума.
"Nevertheless, as of the first half of 2017, the total amount of debt related to state and municipal contracts, identified by the prosecutors of the constituent entities of the Russian Federation, amounted to approximately 27.4 billion rubles.","Тем не менее по состоянию на первое полугодие 2017 года совокупный объем долга по государственным и муниципальным контрактам, выявленный прокурорами субъектов Российской Федерации, составил около 27,4 млрд рублей.","Несмотря на это, к середине 2017 года общая сумма долга, связанная с государственными и муниципальными контрактами, которая была идентифицирована прокурорами субъектов Российской Федерации, составляла приблизительно 27,4 миллиарда рублей."
"In the regions where debt indicators continue to climb to critical levels, the prosecutor’s office has adopted a hands-on approach to crisis management.","В регионах, где показатели задолженности продолжают достигать критических значений, прокуратура работает в режиме ручного антикризисного управления.","В регионах, где индикаторы задолженности продолжают расти до критических уровней, прокуратура приняла активный подход к управлению кризисом."
"The prosecutor general is personally holding on-site meetings with local officials, during which they substantively examine all of the violations uncovered by the prosecutors and the measures aimed at their immediate rectification.","Генеральный прокурор лично проводит выездные совещания с представителями местной власти, на которых предметно разбираются все вскрытые прокурорами нарушения и меры по незамедлительному их устранению.","Прокурор-генерал лично проводит на месте встречи с местными официальными лицами, на которых они детально изучают все нарушения, обнаруженные прокурорами, и меры, направленные на их немедленное исправление."
"This year, these types of briefing sessions have already taken place in Yaroslavl and Yekaterinburg.",Такие оперативные совещания в этом году уже прошли в Ярославле и Екатеринбурге.,В этом году уже прошли такие типы сессий в Ярославле и Екатеринбурге.
"The realization of Federal Law No. 189-FZ “On amending the Code of the Russian Federation on Administrative Offences in terms of establishing administrative liability for officials of a customer for violating the deadline and procedures for payment of goods (works, services) as part of procurement for state and municipal needs”, which was signed by the Russian president last week, will qualitatively improve the payment discipline of public sector customers.","Качественно улучшить платежную дисциплину публичных заказчиков сможет реализация Федерального закона № 189-ФЗ ""О внесении изменений в Кодекс Российской Федерации об административных правонарушениях в части установления административной ответственности должностных лиц заказчика за нарушение срока и порядка оплаты товаров (работ, услуг) при осуществлении закупок для обеспечения государственных и муниципальных нужд"", который на прошлой неделе подписал президент России.","Преодоление Федерального закона № 189-ФЗ ""О внесении изменений в Кодекс Российской Федерации об административных правонарушениях в части установления административной ответственности для должностных лиц заказчика за нарушение срока и порядка оплаты товаров (работ, услуг), приобретаемых в связи с государственными и муниципальными нуждами"", подписанного президентом России последней неделей, будет качественно улучшать дисциплину оплаты заказчиков из государственного сектора."
The Ministry of Economic Development and Trade of the Russian Federation developed the bill at the request of the Office of the Prosecutor General.,Проект закона был разработан Минэкономразвития России по инициативе Генпрокуратуры.,Министерство экономического развития и торговли Российской Федерации разработало проект закона по запросу Генеральной прокуратуры.
"The new law will add an article to the Code of the Russian Federation on Administrative Offences, which stipulates a penalty of between 30,000 and 50,000 rubles for violation of the deadline and procedures for payment of goods, works, or services as part of state and municipal procurements by an official of a customer.","Новый закон дополнит Кодекс Российской Федерации об административных правонарушениях статьей, которая предусматривает штраф от 30 тыс. до 50 тыс. рублей за нарушение должностным лицом заказчика срока и порядка оплаты товаров, работ и услуг при государственных и муниципальных закупках.","Новый закон добавит статью в Кодекс Российской Федерации об административных правонарушениях, которая предусматривает штраф в размере от 30 000 до 50 000 рублей за нарушение срока и процедуры оплаты товаров, работ или услуг в рамках государственных и муниципальных закупок со стороны должностного лица заказчика."
"However, if the official has already been subject to administrative punishment for a similar offense, then they will be suspended for a period of between one to two years.","А если должностное лицо уже подвергалось административному наказанию за аналогичное правонарушение, то его ждет дисквалификация на срок от одного года до двух лет.","Однако, если должностное лицо уже подверглось административному наказанию за аналогичное нарушение, то оно будет отстранено на срок от одного до двух лет."
All the prosecutors for the constituent entities of the Russian Federation have already received instructions to enforce the application of these legislative innovations in practice.,Все прокуроры субъектов Российской Федерации уже получили поручение обеспечить применение этих законодательных новелл на практике.,Все прокуроры для конституционных субъектов Российской Федерации уже получили инструкции о необходимости применения этих законодательных инноваций в практике.
Civil rights group issues travel warning for Missouri,Группа защиты гражданских прав объявила предупреждение по передвижению в Миссури,Группа по правам человека выпустила предупреждение о поездках в Миссури
