Source,Reference,Translation
"Camille Auer halusi korjata sukupuolensa, diagnosoitiin mielisairaaksi ja nyt hän tekee taidetta aiheesta - ""Ihmisellä pitäisi olla oikeus omaan kehoonsa""","Camille Auer wanted to change her gender, was diagnosed with a mental illness and is now making art on the theme – ""People should have the right to their own body""","Camille Auer wanted to correct her gender, was diagnosed with a mental illness, and now she makes art about it - ""A person should have the right to their own body"""
Kuvataideakatemian Project room -gallerian katosta roikkuu kymmeniä potilaskertomuksia.,Dozens of patient reports are hanging from the ceiling of the Project Room gallery of the Academy of Fine Arts.,"The Finnish text translates to English as:

""The ceiling of the Academy of Fine Arts' Project Room gallery hangs dozens of patient stories.""

In this sentence, the Finnish text describes a gallery where numerous patient stories are displayed hanging from the ceiling."
Jokaisessa niissä lukee Camille Auerin nimi.,The name of Camille Auer is written on every one of them.,"In each of them, it reads Camille Auer's name."
"Paperit kertovat monivuotisen tarinan siitä, kuinka ulkopuoliset ihmiset ovat kirjoittaneet ylös tulkintansa Auerista ja tämän identiteetistä.",The reports tell a long story of what kind of an interpretation other people have written of Auer and her identity –,The papers tell a multi-year story about how outsiders have written down their interpretations of Auer and his identity.
Päättäneet hänen puolestaan kuka hän on.,decided on who she is on her behalf.,"Those who decide for him, whoever he is."
"""Halusin kertoa henkilö­kohtaisen hoitohistoriani, jotta prosessin väkivaltaisuus tulisi näkyväksi"", Auer kertoo.","""I wanted to disclose my personal medical history to highlight the violence of the whole process"", Auer says.","""I wanted to share my personal care history so that the violence in the process becomes visible,"" Auer says."
Prosessilla hän viittaa sukupuolenkorjausprosessiin.,"Here, ""process"" refers to her sex reassignment procedure.","In the process, he refers to the gender correction process."
"Se on usein vuosia kestävä tutkimusjakso johon kuuluu tapaamisia psykologien, psykiatrien, hoitajien ja lääkäreiden kanssa.","It is a many-year examination period, including meetings with psychologists, psychiatrists, nurses and physicians.","It is often a research phase that lasts for years, involving meetings with psychologists, psychiatrists, nurses, and doctors."
"Prosessi käynnistyy lähetteellä ""sukupuoli-identiteetin häiriön"" ­diagnosointitutkimuksiin, joita suoritetaan Tampereella ja Helsingissä.",The process starts with a referral to diagnose a gender identity disorder. These diagnoses are performed in Tampere and Helsinki.,"The process begins with a dispatch to ""gender identity disorder"" diagnostic research, which is conducted in Tampere and Helsinki."
Auerin kohdalla prosessi käynnistyi neljä vuotta sitten.,Auer's process started four years ago.,"At Auer's place, the process started four years ago."
