Source,Reference,Translation
Ақша-несие саясатының сценарийін қайта жазсақ,Rewriting the Monetary-Policy Script,If we rewrite the script of the monetary and credit policy.
"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"Translation:

MUNICH – The world's largest central banks are finally giving up on strict rules to curb inflation and are allowing growth to expand.

Note: The translation is based on the provided text, but it's worth noting that the original text seems to be a news headline or a title, and the translation might not be a full or detailed translation of the article."
Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.","Translation: 

When considering the good aspects of the monetary and credit policy, central banks should also start to attach importance to flexibility.

Note: This translation is based on the provided text and might not be a direct translation of the entire Kazakh text."
"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","The established practice of those who form monetary policy is that if inflation is below the official forecast range for a long time, short-term interest rates should be set at a level that stimulates spending and investment.

Note: This translation is based on the provided text and may not be an official translation from a government or financial institution."
Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.","This method's peculiarity - when interest rates approach zero, central banks have no other way to increase demand except for implementing asset purchase programs."
"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","If the situation allows, the decision-makers announce a default based on well-known scenarios according to the new Keynesian economic model.

Here's a more detailed translation:

""If the situation permits, those who make the political decisions will announce a default based on well-known scenarios in accordance with the new Keynesian economic model."""
"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","However, in very many cases, these scenarios confuse us, because we think that the monetary policy's impact on demand and inflation can be measured and forecasted.

Note: The translation is provided in a neutral tone, trying to preserve the original meaning and context of the text."
Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,There is plenty of reason to question this assumption.,"However, these reasons are not sufficient to disprove this conclusion."
"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Firstly, even if families have a low interest rate, they haven't saved much money and spent a lot."
"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Translation: 

If saving money does not bring profit, people will not buy expensive things, or they will not save money for their future retirement.

Note: The translation is quite literal and may not fully capture the nuances of the original text."
"Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.","Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more.","Translation:

Due to the fact that the risk is extremely high, companies are in a state of uncertainty, and the capital's depreciation to a level it has never been before has not encouraged them to invest more.

Note: The translation may not be perfect due to the complexity of the original text and the nuances of the Kazakh language."
"Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.","It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated.","Despite this information, it is easy to understand why those who make monetary and credit policies rely on previously existing formulas.

Note: The translation is based on the provided text. If there are any specific nuances or context that need to be considered, please provide more information."
"Белгілі қағидаға сүйенсек, инфляция деңгейін лайықты деңгейге жеткізу үшін экономикадағы олқылықтардың барлығы түзетілуі керек.","This requires pushing interest rates as low as possible, and when these policies have run their course (such as when rates dip toward the negative), unconventional instruments like “quantitative easing” must be deployed to revive growth and inflation.","Translation: 

If we follow a well-known principle, all distortions in the economy need to be corrected in order to bring inflation to a worthy level."
