Source,Reference,Translation
"According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport.","সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।","ভিজিটের সময়সূচী অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট যা রাষ্ট্রপতি এবং তার সঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড়ে যাবে।"
"Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development.","শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।","শাহিদুল হাক বলেন, সভায় প্রধানমন্ত্রী অঞ্চলে শান্তি ও স্থিতিশীলতা অর্জনের জন্য উন্নয়নের আকাঙ্ক্ষিত লক্ষ্য অর্জনের জন্য তীব্র জোর দিয়েছেন।

(Note: Shahidul Haque is a common name in Bengali, so I assumed it's the person you are referring to. If it's a different person, please provide more context or information.)"
The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.,নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,উচ্চ আদালত সাবটেজ মামলায় বিএনপির দলীয় সম্পাদক মৌদুদ আহমেদ ও বিএনপির আইন বিষয়ক সম্পাদক আইনজীবী সানাউল্লাহ মিয়াকে আগামী বাকি বের করার বাইকে দেয়।
They wished Sheikh Hasina good health and long life.,তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,তারা শেখ হাসিনার সুস্থতা এবং দীর্ঘায়ু কামনা করেছে।
"The finance minister said, the World Bank never said that we would have growth more than 6.5 percent.","অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।","আর্থিক মন্ত্রী বলেছেন, বিশ্বব্যাংক কখনোই বলেনি যে আমাদের আছে ৬.৫ শতাংশের বেশি বৃদ্ধি।"
"At the same time, Bangladeshis living there have been asked to remain alert.",একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,"একই সময়ে, সেখানে বাংলাদেশিরা সতর্ক থাকার জন্য জিজ্ঞাসা করা হয়েছে।"
Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.,হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,হাসপাতালের উপ-পরিচালক ডাঃ লক্ষ্মী নারায়ণ মজুমদার এ তথ্য নিশ্চিত করেছেন।
Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.,বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,বাংলাদেশের জন্য বিশ্ব পর্যটন সংস্থার রায়েসাত্তি ও স্থায়ী প্রতিনিধি হাসান মাহমুদ খানদকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।
"Nobody will be allowed to run casino business, Home Minister","কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী","কোনো ব্যক্তি ক্যাসিনো ব্যবসা পরিচালনা করতে পারবে না, বাস্তবায়ন করবে হোম মিনিস্টার

(বিকল্প সঠিক অনুবাদ)
কোনো ব্যক্তি ক্যাসিনো ব্যবসা পরিচালনা করতে দেওয়া হবে না, বলেছেন হোম মিনিস্টার"
Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.,প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,ওয়ালটন হল প্রথম এবং একমাত্র বাংলাদেশী মোবাইল ফোন নির্মাণ কোম্পানি যা এই অর্জন অর্জন করেছে।
They were taken to Dhaka Medical College Hospital.,তাদের ঢাকা মেডিক্যাল কলেজ হাসপাতালে নেওয়া হয়েছে।,তাদের ঢাকা মেডিকেল কলেজ হাসপাতালে নিয়ে গেছে।
"Among them, Rashed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare.",এদের মধ্যে রাশেদ খান মেননকে বেসামরিক বিমান পরিবহন ও পর্যটন মন্ত্রণালয় থেকে বদলি করে সমাজকল্যাণ মন্ত্রণালয়ে দেওয়া হয়েছে।,"তাদের মধ্যে, রাশেদ খান মেননকে সভ্য বিমান ও পর্যটন মন্ত্রণালয় থেকে সামাজিক কল্যাণ মন্ত্রণালয়ে স্থানান্তর করা হয়েছে।"
"Professor Dr Kazi Shahidullah, Supernumerary Professor of the Depatment of History of Dhaka University, has been appointed as new chairman of the University Grants Commission (UGC).",বিশ্ববিদ্যালয় মঞ্জুরি কমিশনের (ইউজিসি) নতুন চেয়ারম্যান হয়েছেন ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগের সংখ্যাতিরিক্ত অধ্যাপক ড. কাজী শহীদুল্লাহ।,ডঃ কাজী শাহিদুল্লাহ নামক ধাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগের সুপারনামেরি অধ্যাপক হিসেবে কর্মরত প্রফেসর ডঃ কাজী শাহিদুল্লাহকে বর্তমান বিশ্ববিদ্যালয় গ্রান্ট কমিশনের (ইউজিসি) নতুন চেয়ারম্যান হিসেবে নিয়োগ দেওয়া হয়েছে।
"Entry, exit restrictions to India for Bangladeshi travellers lifted",বাংলাদেশী ভ্রমণকারীদের ভারতে যাওয়া-আসার বিধিনিষেধ অপসারণ,"ভারতে যাত্রীদের জন্য প্রবেশ-নির্গম সীমাবদ্ধতা বাতিল

বা

ভারতে যাত্রীদের জন্য প্রবেশ-নির্গম সীমাবদ্ধতা বাতিল করা হয়েছে

বা

ভারতে যাওয়ার জন্য বাংলাদেশি যাত্রীদের জন্য প্রবেশ-নির্গম সীমাবদ্ধতা বাতিল"
"While Major Sinha's killing has finally turned the heads of those in power, it's clear the government is more interested in moving past the incident than addressing a pervasive problem within its security forces.","মেজর সিনহার হত্যাকান্ড যখন অবশেষে ক্ষমতাসীনদের নাড়িয়ে দিয়েছে, এটি সুস্পষ্ট যে সরকার তার নিরাপত্তা বাহিনীর মধ্যকার বিস্তৃত সমস্যা সমাধানের চেয়ে ঘটনাটি পাশ কাটিয়ে উঠতে বেশি আগ্রহী।","মেজর শিনহার হত্যাকাণ্ডের পর শেষ পর্যন্ত শক্তির ব্যক্তিরা মনোযোগ দিয়েছে, কিন্তু স্পষ্ট যে সরকার ঘটনাটি অতিক্রম করার চেষ্টা করছে বেশি বলে মনে হচ্ছে, তার নিজস্ব নিরাপত্তা বাহিনীর মধ্যে একটি বিস্তৃত সমস্যার সমাধান করার চেয়ে।"
Most bookstores in Dhaka were closed when the Coronavirus lockdown was enforced in March.,মার্চ মাসে করোনাভাইরাস লকডাউন কর্যকর হবার পর ঢাকার বেশিরভাগ এলাকায় বইয়ের দোকানগুলি বন্ধ হয়ে যায়।,ঢাকার সবচেয়ে বেশি বইদোকান মার্চ মাসে করোনাভাইরাস লকডাউন চাপার সময় বন্ধ ছিল।
"Shashank Pandey, Country Manager of Amazon BD and Engineer Liakat Ali, Executive Director of Walton and CEO of Computer Products Division signed the agreement on behalf of their respective organizations.",অ্যামাজন বিডির কান্ট্রি ম্যানেজার শশাঙ্ক পান্ডে এবং ওয়ালটনের নির্বাহী পরিচালক ও কম্পিউটার পণ্য বিভাগের সিইও ইঞ্জিনিয়ার লিয়াকত আলী নিজ নিজ প্রতিষ্ঠানের পক্ষে চুক্তিতে সই করেন।,"শশাঙ্ক পাণ্ডে, আমাজন বিডির কাউন্ট্রি ম্যানেজার এবং ইঞ্জিনিয়ার লিয়াকত আলী, ওয়ালটনের এক্সিকিউটিভ ডায়ারেক্টর এবং কম্পিউটার প্রোডাক্টস বিভাগের সিইও তাদের সংস্থার প্রতিনিধিত্বে চুক্তি স্বাক্ষর করেন।"
"Inspired by Bangabandhu's visionary ideas, we are continuing to champion regional cooperation like BIMSTEC, SAARC, BBIN, BCIM.","বঙ্গবন্ধুর দূরদর্শীপূর্ণ চিন্তা-ভাবনায় অনুপ্রাণিত হয়ে আমরা বিমসটেক, সার্ক, বিবিআইএন ও বিসিআইএমের মতো আঞ্চলিক সহযোগিতা অব্যাহত রেখেছি।","বাংবাদুষের উদ্ভাবনী ধারণার অনুপ্রেরণায়, আমরা বিমস্টেক, সার্ক, বিবিইন, বিসিআইএম সহ অঞ্চলব্যাপী সহযোগিতা চালিয়ে যাচ্ছি।"
"Due to conflicts, the benefit goes to the arms sellers, she said.","তিনি বলেন, দ্বন্দ্বের কারণে এই সুবিধাটি অস্ত্র বিক্রেতাদের কাছে যায়।","দ্বন্দ্বের কারণে, সে বলেছেন, লাভ হাতিয়ার বিক্রেতাদের যায়।"
"Besides, State Minister for Social Welfare Sharif Ahmed was made state minister for Housing and Public Works Ministry.","এছাড়া, সমাজকল্যাণ মন্ত্রণালয়ের প্রতিমন্ত্রী শরীফ আহমেদকে গৃহায়ণ ও গণপূর্ত মন্ত্রণালয়ের প্রতিমন্ত্রী করা হয়েছে।","বাদে থাকা সত্যে, সামাজিক কল্যাণ মন্ত্রী শরীফ আহমেদকে হাউজিং এবং পাবলিক ওয়ার্কস মন্ত্রণালয়ের রাষ্ট্রমন্ত্রী করা হয়েছিল।"
"""We are to import eight lakh tonnes of onions every year, of which 90 per cent are imported from India.""",আমাদের প্রতি বছর আট লাখ টন পেঁয়াজ আমাদের আমদানি করতে হয় যার ৯০ ভাগ আসে ভারত থেকে।,"আমরা প্রতি বছর আট লাখ টন পেঁয়াজ আমদানি করতে চাই, যার মধ্যে ৯০ শতাংশ ভারত থেকে আমদানি করা হয়।"
We're taking prompt actions against the terrorists when they're identified.,আমরা সন্ত্রাসীদের চিহ্নিত করা মাত্রই তাদের বিরুদ্ধে ত্বরিত পদক্ষেপ নিচ্ছি।,আমরা তাদের সনাক্ত হলে সন্ত্রাসীদের বিরুদ্ধে তাৎক্ষণিক পদক্ষেপ নিচ্ছি।
