Source,Reference,Translation
"According to the schedule of the visit, a regular flight of Singapore Airlines carrying the President and his entourage members will take off from Hazrat Shahjalal International Airport.","সফরের সময়সূচি অনুযায়ী, সিঙ্গাপুর এয়ারলাইন্সের একটি নিয়মিত ফ্লাইট রাষ্ট্রপতি ও তার সফরসঙ্গীদের নিয়ে হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে উড্ডয়ন করবে।","ভিজিটের সময়সূচী অনুসারে, সিঙ্গাপুর এয়ারলাইন্সের একটি স্থির উড়োজাহাজ রাষ্ট্রপতি এবং তার সংস্থানভূক্ত সদস্যদের নিয়ে হাজারত শাহজালাল আন্তর্জাতিক বিমানবন্দর থেকে বের হবে।"
"Shahidul Haque said, in the meeting Prime Minister gave emphasis on peace and stability in the region to achieve the cherished goals of development.","শহীদুল হক বলেন, বৈঠকে প্রধানমন্ত্রী উন্নয়নের কাঙ্ক্ষিত লক্ষ্য অর্জনে এই অঞ্চলে শান্তি ও স্থিতিশীলতার ওপর গুরুত্ব আরোপ করেন।","শাহিদুল হক বলেন, সভায় প্রধানমন্ত্রী অঞ্চলে শান্তি ও স্থিতিশীলতা অর্জনের জন্য উন্নয়নের আকাঙ্ক্ষিত লক্ষ্য সাধনের উপর গুরুত্ব দিয়েছেন।"
The High Court has granted anticipatory bail to BNP standing committee member Moudud Ahmed and BNP's law affairs secretary advocate Sanaullah Mia in sabotage case.,নাশকতার মামলায় বিএনপির স্থায়ী কমিটির সদস্য ব্যারিস্টার মওদুদ আহমদ ও বিএনপির আইন বিষয়ক সম্পাদক অ্যাডভোকেট সানাউল্লাহ মিয়াকে আগাম জামিন দিয়েছেন হাইকোর্ট।,হাই কোর্ট সাবানিটোরি বেইল দিয়েছে বিএনপির স্থায়ী কমিটির সদস্য মৌদুদ আহমেদ এবং বিএনপির আইন বিষয়ক সম্পাদক আইনজীবী সানাউল্লাহ মিয়া সাবোটেজ মামলায়।
They wished Sheikh Hasina good health and long life.,তারা শেখ হাসিনার সুস্বাস্থ্য ও দীর্ঘায়ু কামনা করেন।,তারা শেখ হাসিনাকে ভাল স্বাস্থ্য এবং দীর্ঘায়ু কামনা করেছে।
"The finance minister said, the World Bank never said that we would have growth more than 6.5 percent.","অর্থমন্ত্রী বলেন, বিশ্বব্যাংক আমাদের কখনো সাড়ে ৬ ভাগের বেশি প্রবৃদ্ধি হবে বলত না।","দেশের অর্থমন্ত্রী বলেছেন, বিশ্বব্যাংক কখনও আমাদের ক্ষেত্রে ৬.৫ শতাংশের বেশি বৃদ্ধি হবে বলে নির্দেশ করেনি।"
"At the same time, Bangladeshis living there have been asked to remain alert.",একই সঙ্গে সেখানে বসবাসরত বাংলাদেশিদের সতর্ক থাকতে বলা হয়েছে।,"একই সময়ে, সেখানে বাংলাদেশিরা সতর্ক থাকার জন্য অনুরোধ করা হয়েছে।"
Deputy Director of the hospital Dr Laxmi Narayan Majumder confirmed this.,হাসপাতালের উপপরিচালক লক্ষ্মী নারায়ণ এটি নিশ্চিত করেছেন।,হাসপাতালের সহকারী পরিচালক ডক্টর লক্ষ্মী নারায়ণ মজুমদার এটা নিশ্চিত করেছেন।
Ambassador and Permanent Representative of Bangladesh to the World Tourism Organization Hassan Mahmood Khandker will receive the prime minister at the airport.,বিশ্ব পর্যটন সংস্থায় বাংলাদেশের স্থায়ী প্রতিনিধি এবং রাষ্ট্রদূত হাসান মাহমুদ খন্দকার বিমানবন্দরে প্রধানমন্ত্রীকে স্বাগত জানাবেন।,বাংলাদেশের বিশ্ব পর্যটন সংস্থায় স্থায়ী প্রতিনিধি হাসান মাহমুদ খন্দকার প্রধানমন্ত্রীকে বিমানবন্দরে স্বাগত জানাবেন।
"Nobody will be allowed to run casino business, Home Minister","কাউকে ক্যাসিনো ব্যবসা করতে দেয়া হবে না , স্বরাষ্ট্রমন্ত্রী","কারো ক্যাসিনো ব্যবসা চালানো হবে না, হোম মিনিস্টার"
Walton is the first and only Bangladeshi mobile phone manufacturing company to achieve the feat.,প্রথম ও একমাত্র বাংলাদেশী মোবাইল ফোন উৎপাদনকারী প্রতিষ্ঠান হিসেবে ওয়ালটন এই অর্জন করেছে।,ওয়ালটন হল বাংলাদেশের একমাত্র মোবাইল ফোন প্রস্তুতকারণ কোম্পানি যেটি এই সাফল্য অর্জন করেছে।
They were taken to Dhaka Medical College Hospital.,তাদের ঢাকা মেডিক্যাল কলেজ হাসপাতালে নেওয়া হয়েছে।,তারা ঢাকা মেডিক্যাল কলেজ হাসপাতালে নিয়ে গেলেন।
"Among them, Rashed Khan Menon has been transferred from the Ministry of Civil Aviation and Tourism to the Ministry of Social Welfare.",এদের মধ্যে রাশেদ খান মেননকে বেসামরিক বিমান পরিবহন ও পর্যটন মন্ত্রণালয় থেকে বদলি করে সমাজকল্যাণ মন্ত্রণালয়ে দেওয়া হয়েছে।,"তাদের মধ্যে, রাশেদ খান মেনন সিভিল এভিয়েশন এন্ড টুরিজম মন্ত্রণাল থেকে সোশাল ওয়েলফেয়ার মন্ত্রণালে স্থানান্তরিত হয়েছেন।"
"Professor Dr Kazi Shahidullah, Supernumerary Professor of the Depatment of History of Dhaka University, has been appointed as new chairman of the University Grants Commission (UGC).",বিশ্ববিদ্যালয় মঞ্জুরি কমিশনের (ইউজিসি) নতুন চেয়ারম্যান হয়েছেন ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগের সংখ্যাতিরিক্ত অধ্যাপক ড. কাজী শহীদুল্লাহ।,"প্রফেসর ডক্টর কাজী শহিদুল্লাহ্, ঢাকা বিশ্ববিদ্যালয়ের ইতিহাস বিভাগের সুপারনিউমারি প্রফেসর, বিশ্ববিদ্যালয় গ্রান্টস কমিশন (UGC) এর নতুন চেয়ারম্যান হিসাবে নিযুক্ত হয়েছেন।"
"Entry, exit restrictions to India for Bangladeshi travellers lifted",বাংলাদেশী ভ্রমণকারীদের ভারতে যাওয়া-আসার বিধিনিষেধ অপসারণ,ভারতে বাংলাদেশি যাত্রীদের প্রবেশ-নির্গম সীমাবধি সরিয়ে দেওয়া হয়েছে
"While Major Sinha's killing has finally turned the heads of those in power, it's clear the government is more interested in moving past the incident than addressing a pervasive problem within its security forces.","মেজর সিনহার হত্যাকান্ড যখন অবশেষে ক্ষমতাসীনদের নাড়িয়ে দিয়েছে, এটি সুস্পষ্ট যে সরকার তার নিরাপত্তা বাহিনীর মধ্যকার বিস্তৃত সমস্যা সমাধানের চেয়ে ঘটনাটি পাশ কাটিয়ে উঠতে বেশি আগ্রহী।","মেজর সিনহা হত্যাকাণ্ডের বিষয়ে সরকারের কাছে একটা সমস্যা আছে এবং তা সমাধান করতে তারা আগ্রহী নয়, বরং এটা অতিক্রম করতে বেশি আগ্রহী।"
Most bookstores in Dhaka were closed when the Coronavirus lockdown was enforced in March.,মার্চ মাসে করোনাভাইরাস লকডাউন কর্যকর হবার পর ঢাকার বেশিরভাগ এলাকায় বইয়ের দোকানগুলি বন্ধ হয়ে যায়।,ঢাকার সবচেয়ে বেশি বইপাড়া গণপরিষেবা মার্চে করোনাভাইরাস লকডাউনের সময় বন্ধ ছিল।
"Shashank Pandey, Country Manager of Amazon BD and Engineer Liakat Ali, Executive Director of Walton and CEO of Computer Products Division signed the agreement on behalf of their respective organizations.",অ্যামাজন বিডির কান্ট্রি ম্যানেজার শশাঙ্ক পান্ডে এবং ওয়ালটনের নির্বাহী পরিচালক ও কম্পিউটার পণ্য বিভাগের সিইও ইঞ্জিনিয়ার লিয়াকত আলী নিজ নিজ প্রতিষ্ঠানের পক্ষে চুক্তিতে সই করেন।,"শাশাঙ্ক পান্ডে, আমাজন বিডিএর কাউন্ট্রি ম্যানেজার এবং লিয়াকাত আলী, ওয়ালটনের এক্সিকিউটিভ ডিরেক্টর এবং কম্পিউটার প্রোডাক্টস ডিভিশনের সিইও তাদের সংশ্লিষ্ট সংস্থাগুলোর প্রতিনিধি হিসাবে চুক্তিটি স্বাক্ষর করেছেন।"
