Source,Reference,Translation
Civil rights group issues travel warning for Missouri,Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri,Grupa pro lidská práva vydala varování před cestováním do Missouri.
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,Národní asociace pro zvýhodňování barevných lidí (NAACP) zveřejnila varování pro barevné lidi cestující do Missouri na základě diskriminačních zásad státu a rasistických útoků.,"Národní asociace pro pokrok barvených lidí vydala varování pro lidi barvené, kteří se chystají do Missouri, kvůli diskriminativním politikám a rasistickým útokům v státě."
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","„Cestovní doporučení NAACP pro stát Missouri, s účinností od 28. srpna 2017, vyzývá afroamerické cestující, návštěvníky a obyvatele Missouri, aby při cestování napříč státem dbali zvýšené pozornosti v důsledku série sporných rasově motivovaných incidentů, ke kterým v současné době dochází v celém státu,“ stojí v prohlášení asociace.","""Travel Advisory pro NAACP pro stát Missouri, účinný do 28. srpna 2017, varuje černé americké cestovatele, návštěvníky a Missouriany, aby při cestování po celém státě byli extra pozorní a vysoce opatrní, zejména kvůli sérii podezřelých, rasově založených incidentů, které se nedávno vyskytly po celém státě."""
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","NAACP uvedlo, že k tomuto kroku přistoupilo na základě současných zákonů státu Missouri, které znesnadňují obhajobu rasisticky motivovaných činů před soudem, stejně jako v důsledku jednání orgánů činných v trestním řízení, které nepřiměřeně cílí na menšiny.","Nedávné zákon Missouri, který ztěžuje lidem vítězství v soudních žalobách proti diskriminaci, a státní policie, která diskriminuje proti menšinám, vedly skupinu k vydání varování proti cestování, řekl NAACP."
"""You have violations of civil rights that are happening to people.",„Dochází k porušování občanských práv.,"Máte porušení občanských práv, která se dějí lidem."
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","Lidé jsou zastavováni policisty jen kvůli barvě své pleti, jsou napadán nebo zabíjeni,“ uvedl pro Kansas City Star prezident NAACP pro Missouri Rod Chapel.","Oni jsou zastavováni kvůli své pleti, jsou biti nebo zabiti,"" řekl prezident Missouri NAACP, Rod Chapel, The Kansas City Star."
"""We are hearing complaints at a rate we haven't heard before.""",„Hromadí se nám dosud největší množství stížností.“,"""Slušíme si hlášení na takovou míru, jakou jsme dosud neslyšeli."""
It is the first such warning that the organization has issued for a state in the US.,"Jedná se o první varování svého druhu, které organizace vydala pro stát USA.","To ensure accuracy, could you please provide the full text you need translated?"
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","Mezi incidenty, které organizace citovala, byly rasově motivované nadávky směřované vůči studentům černé pleti na University of Missouri a smrt Toryho Sanderse, muže černé pleti z Tennessee.","Skupina cituje incidenty jako rasistické výpady proti černochům na University of Missouri a smrt Toryho Sandera, 28 let, černocha z Tennessee."
"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","Sanders zemřel za sporných okolností na začátku letošního roku poté,co mu při cestování napříč státem došel benzín a policie jej uvrhla do vazby bez obvinění ze spáchání zločinu.","Zemřel před několika měsíci v nejasných okolnostech, když vyčerpal palivo při cestě přes stát, a byl zatčen policií Missouri bez obvinění z trestného činu."
The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,"Cestovní doporučení rovněž upozorňuje na nedávné prohlášení nejvyššího státního zastupitelství státu Missouri, které uvádí, že řidiči černé pleti mají o 75 % vyšší šanci, že je zastaví policie.",The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.
"""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.","„Účelem cestovního doporučení je upozorňovat lidi a varovat jejich rodiny, přátele a spolupracovníky před tím, co by se mohlo přihodit v Missouri,“ řekl Chapel.","""Advisory je pro lidi, aby byli uvědomělí, a varovali své rodiny, přátele a kolegy o tom, co mohlo nastat v Missouri,"" řekl Chapel."
"""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""","„Lidé musejí být připraveni - měli by s sebou vozit peníze na případnou úhradu kauce nebo upozornit své příbuzné, že se chystají cestovat státem.“","Lidé musí být připraveni, ať už jde o přinesení ústavního peněz s sebou, nebo o informování rodinných příslušníků, že jsou prostřednictvím státu v cestě."
"Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.","Podle aktuálních čísel programu FBI k hlášení nenávistných činů došlo v roce 2015 v Missouri ke stovce případů nenávistného chování, což dosazuje stát na šestnácté místo mezi všemi státy.","Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations."
The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.,"Cestovní výstraha je zároveň odpovědí na nový zákon Missouri, který znesnadňuje zažalování společnosti za diskriminaci při poskytování ubytování nebo zaměstnávání.",The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.
"Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.","Americký svaz pro občanské svobody (ACLU) vydal cestovní doporučení pro Texas a Arizonu poté, co státy schválily imigrační zákon, jež umožňuje státním činitelům zadržet lidi na základě porušení tohoto zákona, který má podle ACLU zlepšit rasovou profilaci.","Dříve vydala Americká unie pro občanské svobody (ACLU) cestovní varování pro Texas a Arizonu poté, co státy přijaly zákony o kontrolách imigrace, které vyžadují lokální policejní síly detrovat osoby za porušení imigračních zákonů, které ACLU tvrdí by zvýšilo rasistické profilování."
"Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.","Cestovní doporučení obvykle vydává ministerstvo zahraničí pro zahraniční země, ale v poslední době se advokační skupiny uchýlily k těmto opatřením v odpovědi na konkrétní zákony a trendy v rámci USA.","Varování cestovatelům jsou obvykle vydávána Ministerstvem zahraničí pro jiné země, ale v poslední době se některé skupiny aktivistů rozhodly k tomuto kroku v reakci na určité zákony a trendy v USA."
Model killed by a chef.,Modelka byla zabita šéfkuchařem.,"The translation of ""Model killed by a chef"" into Czech is ""Model zabitý šéfkuchařem""."
"Twelve years later, her family still has no peace!",Její rodina ani po 12 letech nemá klid!,"Dvanáct let později, její rodina stále nemá mír!"
The victim is model Sally Anne Bowman.,Zavražděnou je modelka Sally Anne Bowman.,Oběť je modelka Sally Anne Bowman.
