Source,Reference,Translation
Rewriting the Monetary-Policy Script,Ақша-несие саясатының сценарийін қайта жазсақ,Ақша саясатының сценарийін қайта жазу
MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",МЮНХЕН – Қандай уақытқа дейін орталық банктар инфляцияны бақылау және өсімді көтермелеу үшін қатаң ережелерге сенімділіктің көзіне айналдырады?
"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.",Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Нимбле валюталық саясаттың анық артықшылықтарын ескере отырып, орталық банктердің мүмкіндіктерге көзінің ашылуы керек, жылжымалылық қалай қызмет етеді."
"The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","Ақша саясатын жүргізушілердің ұзақ уақыт бойы қолданып келе жатқан ережесі - инфляция ресми тарифтерден төмен болса, қысқа мерзімді пайыздардың мөлшері шығын мен инвестицияларды көтермелеуге тиіс."
"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"Бұл әдіс әрекетінің нәтижесінде, пайыздық мөлшерлер нөлге жетіп немесе жақындаса, орталық банктерге сұранымды түрткіге салуға арналған ірі активтерді сатып алу бағдарламаларын іске қосуға аз мүмкіндік қалады."
"When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","Жағдайлар оны талап еткенде, саясаткерлер неокейнсиандық экономикалық моделдердің алдын ала белгіленген скриптеріне жүгінеді."
"But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","Бірақ көптеген жағдайларда, сол скриптілер бізді адастырды, себебі олар ақша саясатының сұранымға және инфляцияға өлшенетін және болжанатын ықпалы бар деп есептейді."
There is plenty of reason to question this assumption.,Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,Бұл жорамалды сұраққа түсіруге көптеген себептер бар.
"For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","Бірінші кезекте, отбасылар өте төмен пайыздық мөлшерлерге жауап ретінде аз үнемдеу және көп шығын жасау арқылы жауап бермеді."
"If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","Сақтықтар енді пайда әкелмесе, адамдар үлкен сомаға тұратын заттарды сатып ала алмайды немесе кейінгі кезде зейнеткерлікке төлеу үшін қаражат жинай алмайды."
"Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more.","Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.","Осындай, бүгінгі компаниялардың алдында өте көп белгісіздіктер мен қауіптер бар, сондықтан ақша салымдарының төмендетілген құны оларды инвестицияларды көбейтуге тартпайды."
"It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated.","Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.","Оның үшін не себепті, деректерді елемей, алдын ала белгіленген формулалар ақша саясатының шешім қабылдаушыларына тартымды болып көрінетінін көру оңай. Басым көзқарас бойынша, инфляциялық деңгейді бір артықшылықты деңгейге қайтару үшін, экономикадағы кез келген жұмсалмаушылықты жою керек."
"This requires pushing interest rates as low as possible, and when these policies have run their course (such as when rates dip toward the negative), unconventional instruments like “quantitative easing” must be deployed to revive growth and inflation.","Белгілі қағидаға сүйенсек, инфляция деңгейін лайықты деңгейге жеткізу үшін экономикадағы олқылықтардың барлығы түзетілуі керек.","Мұның үшін пайыздық мөлшерлемелерді мүмкіндігінше төмендетіп, ал бұл саясаттардың өзінің жолын жүріп болған кезде (мысалы, мөлшерлемелер теріске қарай төмендегенде), өсімді және инфляцияны қайта жандандыру үшін ""сандық оңашалау"" сияқты дәстүрлі емес құралдарды қолдану керек."
The paradigm has become so universally accepted – and the model simulations underpinning central banks’ decisions have become so complex – that few are willing to question it.,"Бұл пайыздық мөлшерлемені мейлінше төмендетуді талап етеді, ал бұл саясат жүзеге асырылғанда (мөлшерлемелер минусқа дейін түсіп кеткенде) өсім мен инфляцияны қайта қалпына келтіру үшін «сандық жеңілдету» сияқты әдеттегіден тыс құралдарды қолдану қажет. Бұл парадигманы жұрттың бәрі қабылдағаны, әрі орталық банктердің шешім қабылдауына негіз болатын модельдердің күрделі болатыны сондай, оған күмәнданатындар өте сирек.",Парадигма айрықша кеңінен қабылданған - және орталық банктің шешімдерін қолдауға арналған модельдік симуляциялар өте күрделі болды - сондықтан оны сұраққа тұрғызуға дайын тұрғандар аз.
"For individual central banks or economists, to do so would be sacrilege.",Жекелеген орталық банктер мен экономистер үшін бұл – қасиетті нәрсені қорлау болар еді.,Әрбір орталық банктер немесе экономисттер үшін мұны жасау күпірлік болар еді.
"Central banks do not completely deny the economic costs that these policies imply: exuberance in financial markets, financing gaps in funded pension systems, and deeper wealth inequality, to name just a few.","Орталық банктер бұл саясаттың экономикалық шығындарын, атап айтқанда қаржы нарықтарының шектен тыс толып кетуі, жинақтаушы зейнетақы жүйелеріндегі қаржылық жыртықтарды жамау қажеттігі, байлар мен кедейлер арасында теңсіздіктің артуы сияқты мәселелерін толық жоққа шығармайды.","Орталық банктар бұл саясаттардың салдарынан туындайтын экономикалық шығындарды толықтай жоққа шығармайды: қаржы нарықтарындағы қызығушылық, қаржыландырылатын зейнеткерлік жүйелеріндегі қаржыландыру кемістіктері және байлықтың тереңдейтетін теңсіздігі, тіпті олардың біразын атап өткенде."
But these costs are deemed an acceptable price to pay to reach the clearly defined inflation level.,Бірақ инфляцияның нақты белгіленген межесіне жету үшін бұл – оңтайлы баға.,Бірақ бұл шығындар айқындалған инфляция деңгейіне жету үшін төлеуге жарамды баға деп саналады.
"Yet the policies pursued in recent years have given no room for the intangibles – unstable political environments, geopolitical tremors, or rising risks on financial markets – that can send models off course.","Бірақ, соңғы жылдары жүргізілген саясат материалдық емес активтерге орын қалдырмады, тұрақсыз саяси жағдай, геосаяси тартыстар, қаржы нарықтарындағы тәуекелдің артуы – бұлар модельді бағытынан тайдыруы мүмкін.","Соңғы жылдарда жүргізілген саясаттардың ішінде тұрақсыз саяси ортамдар, геосаяси дірілдер немесе қаржы нарықтарындағы өсіп келе жатқан қауіптер сияқты анықталмаған факторларға орын берілмеді, олар модельдердің жүрісін бұзуы мүмкін."
"As the 2008 financial crisis illustrated, the normal distribution of risk was useless for predictions.","2008 жылғы дағдарыс дәлелдегеніндей, тәуекелді қалыпты нормада белгілеудің өзі іске алғысыз болып қалды.","2008 жылғы қаржы дағдарысы көрсеткендей, қауіптің нормалды таралуы болжамдар үшін пайдалы болмады."
Keynes never tired of arguing that monetary policy becomes ineffective if uncertainty is sufficient to destabilize the expectations of consumers and investors.,"Кейнс белгісіздік тұтынушы мен инвестордың үмітін азайтатындай күшті болса, онда ақша-несие саясаты тиімсіз болып қалады дегенді айтудан шаршаған емес.","Кейнс тіпті де ақша саясатының жеткілікті белгісіздік тұтынушылар мен инвесторлардың күтілетіндеріне тұрақсыздық әкелетін болса, әсерсіз болатынын дәлелдеуден шаршамайтын еді."
Bangladesh’s Deadly War on Drugs,Өлім жазасы Бангладештегі есірткі саудасын тоқтатпайды,Бангладештің өлімді есірткіге қарсы соғысы
"LONDON – The audio quality is poor and the sound of gunshots muffled, but the agony in Ekramul Haque’s voice is unmistakable. On May 26, while speaking with his family by phone, Haque, an elected official in southern Bangladesh, was gunned down by police in an apparent extrajudicial killing.","ЛОНДОН – Аудионың сапасы нашар, атылған оқтың үні қатты естіледі, сонда да Экрамул Хактың даусын жазбай танисың. Бангладештің оңтүстік-шығысында тұратын мемлекеттік қызметкер Хакты мамырдың 26-сында әйелімен телефонмен сөйлесіп тұрған кезінде полиция атып өлтірген.","ЛОНДОН – Дыбының сапасы нашар және атыс дыбысы әлсіз, бірақ Экрамул Хактың даусындағы азап анық. Мамырдың 26-сында, отбасымен телефон арқылы сөйлесіп жатқан кезде, оңтүстік Бангладештің сайланған лауазымды адамы Хак полицейлердің ашық түрде сотсыз өлім жазасына кесіп тастағанында атып өлтірілді."
"Bangladeshi authorities insist Haque was a drug dealer who died in an exchange of gunfire, but the audio evidence – captured by his wife as she listened to her husband die – suggests that the officers involved killed him and then planted drugs at the scene.","Бангладештің ресми орындары “Экрамул Хак – есірткі сатушы және ол атыс кезінде қаза тапты” дейді. Ал күйеуін өлтіріп жатқанда оны телефонмен тыңдап тұрған әйелінің айтуынша, полицейлер оны өлтіріп, сол жерге есірті тастап кеткен.","Бангладештік билік орындары Хакті есірткі сатушысы ретінде санайды, ол атыс кезінде қайтыс болды, бірақ дыбыстық дәлелдер – оның әйелі күйеуінің өлімін тыңдап отырғанда түсірілген – офицерлерге қатысқан олар оны өлтіріп, содан кейін орынға есірткі салдырғанын көрсетеді."
The recording casts a disturbing light on Bangladesh’s new drug-control strategy.,Бұл аудиожазба Банладештің есірткімен күрестегі жаңа стратегиясының олқылығын көрсетеді.,Бұл жазба Бангладештің жаңа есірткіге қарсы стратегиясына қатысты алаңдандыратын сәулені түсіреді.
"Since May, when Prime Minister Sheikh Hasina revamped her government’s war on drugs, an estimated 25,000 people have been arbitrarily imprisoned, and at least 200 have died in alleged shootouts.","Премьер-министр Шейх Хасина үкіметтің есірткімен күрес саясатын қайта қараған мамыр айынан бері 25 мыңға тарта адам сот шешімінсіз түрмеге қамалып, 200-ге жуық кісі оққа ұшқан.","Мамырдан бастап, премьер-министр Шейх Хасина өзінің үкіметінің есірткіге қарсы соғысын қайта құрғаннан бері, шамамен 25 000 адамдық әділетсіз түрде тұтқындауға алынған, ал кемінде 200 адам атыс кезінде қайтыс болған."
The parallels to President Rodrigo Duterte’s brutal drug crackdown in the Philippines are chilling.,Елдегі ахуал Филиппин президенті Родриго Дутертенің есірткімен күрестегі тым қатыгез саясатын еске түсіреді.,Филиппиндегі президент Родриго Дутертенің қатал есірткіге қарсы шараларымен салыстыру өркөкірейтеді.
"There, human rights are routinely violated and more than 20,000 people have been slaughtered since 2016.",Онда адам құқықтары жиі бұзылады және 2016 жылдан бері 20 мыңнан астам кісі өлтірілген.,"Сондай-ақ, сол жерде адам құқықтары дағдылы түрде бұзылып, 2016 жылдан бері 20 мыңнан астам адам қырылды."
"While Duterte’s campaign has drawn international condemnation, Hasina’s purge has been subject to less scrutiny.","Дутерте бастаған науқанды халықаралық қауымдастық жұмыла сынап жатса, Хасинаның “тазалау” операциясына көп назар аударылмай келеді.","Дутертенің науқаны халықаралық айыптауды тартқан болса, Хасинаның тазалауы аз зерттеуге ұшырады."
The relative lack of international criticism seems to have emboldened the government to act even more ruthlessly.,Халықаралық қауымдастық сыни пікір білдірмеген соң үкімет те шектен тыс қатігез әрекеттерге көшкен сыңайлы.,Халықаралық сынның салыстырмалы түрде аздығы үкіметті тіпті де қаталдау әрекет етуге итермеледі.
"While the death penalty for drugs has existed in Bangladesh for decades, it has rarely been used.","Бангладеште есірткі қылмыстарына өлім жазасы бұрыннан бар болғанымен, өте сирек қолданылып келген.","Дәрілерге өлім жазасы Бангладеште ондаған жылдар бойы болғанымен, ол сирек қолданылды."
This could change dramatically if Parliament approves the government’s bill.,"Парламент үкімет ұсынған заң жобасын мақұлдаса, бұл жағдай түбірімен өзгеруі мүмкін.","Бұл парламент үкіметтің заң жобасын мақұлдаса, түбірінен өзгеруі мүмкін."
