Source,Reference,Translation
"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.",上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。,上周，播出时期剧“美食私厨”暂停了，意外引发了关于国产剧假收视率的激烈辩论。
Civil rights group issues travel warning for Missouri,民权团体针对密苏里州发出旅行警告,Missouri的旅行警告发布了。
The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,由于密苏里州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。,The National Association for the Advancement of Colored People has issued a warning for people of color traveling to Missouri due to the state's discriminatory policies and racist incidents.
"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁，因近期密苏里州发生了一系列可疑的种族性事件，所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度，特此告知，”该团体的声明宣称。,"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads."
"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,最近密苏里州的一项法律，规定了更难以胜诉歧视诉讼，州的执法机构对少数族群的歧视性目标也促使该组织发布旅行警示，NAACP表示。
"""You have violations of civil rights that are happening to people.",侵犯公民权利的行为正发生在人们身上。,You have violations of civil rights that are happening to people.
"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",他们因肤色被停车盘问，被殴打或被杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。,他们因为肤色被拦截，或者被打或杀害，”密苏里州NAACP总裁罗德·查佩尔对堪萨斯城星报说。
"""We are hearing complaints at a rate we haven't heard before.""",“我们收到了许多投诉，数量前所未有。”,"""We are hearing complaints at a rate we haven't heard before."""
It is the first such warning that the organization has issued for a state in the US.,这是该组织在美国针对某个州发布的第一个此类警告。,这是该组织在美国某州发布的首个警告。
"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"The group mentioned cases like racial slurs directed at black students at the University of Missouri and the death of Tory Sanders, a 28-year-old black man from Tennessee."
"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.",今年早些时候，桑德斯在可疑情况下死亡。他在密苏里州旅行时燃油耗尽，被密苏里州警方在无指控犯罪的情况下拘留。,"Sanders passed away under suspicious circumstances earlier this year after he ran out of fuel while traveling through the state, and was taken into custody by Missouri police without being accused of a crime."
The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,咨询中还指出，密苏里州总检察长办公室最近的一份报告显示，“与白人相比，该州的黑人司机被停车盘查的可能性要高出 75%”。,The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.
"""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.",查培尔说：“该份咨询是为了提高人们的意识，警告他们的家人、朋友和同事在密苏里州可能发生的情况。”,"""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said."
"""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""",“人们需要做好准备，无论是携带保释金前往密苏里州，还是让亲属知道自己在州内旅行”。,"""People need to be prepared, whether it's bringing bail money with them, or informing relatives they are traveling through the state."""
