Source,Reference,Translation
Ақша-несие саясатының сценарийін қайта жазсақ,Rewriting the Monetary-Policy Script,"""Let's rewrite the scenario of the cashless policy."""
"МЮНХЕН – Әлемнің ең ірі орталық банктері инфляцияны ауыздықтап, өсімді ұлғайту үшін қашанғы қатаң ережелерге сүйене бермек?",MUNICH – How long will major central banks blindly rely on rigid rules to control inflation and stimulate growth?,"""MUNICH - Should the international central banks, including the Federal Reserve, tighten their monetary policies sooner to curb inflation?""

Note: This is a translation of the Kazakh text provided and the original text may have some nuances that are not fully captured in the translation."
Епті ақша-несие саясатының жақсы жақтарын ескере келе орталық банктер бейімделгіштікке де мән бере бастауы қажет.,"Given the clear benefits of nimble monetary policy, central bankers need to open their eyes to the possibilities that flexibility affords.","In order to effectively implement the cashless policy, it is necessary for me to join the partnership program of the central banks.

Note: The Kazakh language has several dialects and variations, and the text you provided appears to be written in the standard form of the Kazakh language. However, there might be slight variations in the translation depending on the specific dialect and context."
"Ақша-несие саясатын жасаушылардың қалыптасқан дәстүрі – егер инфляция ресми болжалған диапазоннан көп уақыт төмен тұрса, қысқа мерзімді пайыздық үстемелер шығындар мен инвестицияға серпін беретіндей деңгейде белгіленуі керек.","The rule of thumb for monetary policymakers has long been that if inflation is below official target ranges, short-term interest rates should be set at a level that spurs spending and investment.","The procedure for implementing the currency rate policy - when inflation exceeds the official threshold for a long time, it is necessary to reflect a tight monetary policy and a decrease in demand during the summer season in the exchange rate, in order to prevent a further increase in prices and to stimulate investment."
Бұл тәсілдің ерекшелігі – пайыздық үстемелер нөлге жақындағанда орталық банктердің сұранысты арттыру үшін активтерді сатып алу бағдарламаларын іске қосудан басқа амалы қалмайды.,"This approach has meant that once interest rates reach or approach zero, central banks have little choice but to activate large asset-purchase programs that are supposed to stimulate demand.",The key to this success is that there are no other measures except for activating programs of purchasing securities from banks in the middle in order to increase the demand for seasonal deposits.
"Егер жағдай соған жетсе, саяси шешім қабылдаушылар жаңа Кейнс экономикалық моделі негізіндегі белгілі сценарийлер бойынша дефолт жариялайды.","When circumstances call for it, policymakers default to the predetermined scripts of neo-Keynesian economic models.","If a situation arises, political leaders will declare a default according to a well-known scenario within the new Keynesian economic model."
"Бірақ өте көп жағдайда бұл сценарийлер бізді шатастырады, себебі ақша-кредит саясатының сұраныс пен инфляцияға ықпалын өлшеуге және болжауға болады деп ойлайды.","But in too many cases, those scripts have led us astray, because they assume that monetary policy has a measurable and foreseeable impact on demand and inflation.","However, in many situations, these scenarios can confuse us, because they can lead to an increase in the exchange rate of money and credit due to inflation and devaluation."
Бірақ бұл тұжырымды жоққа шығаратын себептер жеткілікті.,There is plenty of reason to question this assumption.,"The reasons for not knowing this melody are as follows.

Note: This is a literal translation of the Kazakh sentence. The sentence seems to be missing some context, as it refers to ""this melody"" without specifying which one."
"Біріншіден, отбасылар пайыздық үстеме тым төмен болса да, ақшаны аз сақтап, көп жұмсаған жоқ.","For starters, households have not responded to ultra-low interest rates by saving less and spending more.","Even if families have a hard time in summer, they don't save on expenses, but rather spend more."
"Ақша жинау табыс келтірмейтін болса, адамдар қымбат заттар сатып ала бермейді, немесе кейін болатын зейнеттік демалысына ақша жинамайды.","If savings no longer yield a return, people can’t afford big-ticket items or pay for retirement down the road.","If people don't start saving money, they won't be able to sell gifts in the future, or even be unable to buy necessary things because of lack of money."
"Дәл сол сияқты тәуекел өте көп болғандықтан, компаниялар да әрі-сәрі күйде тұр, капиталдың бұрын болмаған деңгейге дейін арзандауы оларды көбірек инвестиция салуға итермелеген жоқ.","Likewise, companies today are faced with so much uncertainty and so many risks that ever-lower costs of capital have not enticed them to invest more.","Because there are many unpredictable factors in the bright sun of the new day, companies cannot avoid the risks of falling capital before it happens, and therefore, they cannot refrain from making investments for the purpose of increasing it."
"Осы мәліметтерге қарамастан, ақша-несие саясатын жасаушылардың бұрыннан бар формулаларға неліктен сүйене беретінін түсіну оңай.","It’s easy to see why, despite the data, predetermined formulas are attractive to monetary policymakers. The prevailing wisdom holds that in order to return the inflation rate to a preferred level, any slack in the economy must be eliminated.","Without studying these materials, it is not appropriate to directly apply certain formulas when creating monetary policy."
"Белгілі қағидаға сүйенсек, инфляция деңгейін лайықты деңгейге жеткізу үшін экономикадағы олқылықтардың барлығы түзетілуі керек.","This requires pushing interest rates as low as possible, and when these policies have run their course (such as when rates dip toward the negative), unconventional instruments like “quantitative easing” must be deployed to revive growth and inflation.","In order to adjust the inflation rate to the desired level in the macroeconomic balance sheet, it is necessary to take into account all the economic factors.

Note: This is a loose translation, as the term ""белгілі қағида"" can have different meanings depending on the context, such as ""macroeconomic balance sheet,"" ""macroeconomic indicators,"" or ""macroeconomic parameters."" I chose ""macroeconomic balance sheet"" as it seemed to fit the context the best."
"Бұл пайыздық мөлшерлемені мейлінше төмендетуді талап етеді, ал бұл саясат жүзеге асырылғанда (мөлшерлемелер минусқа дейін түсіп кеткенде) өсім мен инфляцияны қайта қалпына келтіру үшін «сандық жеңілдету» сияқты әдеттегіден тыс құралдарды қолдану қажет. Бұл парадигманы жұрттың бәрі қабылдағаны, әрі орталық банктердің шешім қабылдауына негіз болатын модельдердің күрделі болатыны сондай, оған күмәнданатындар өте сирек.",The paradigm has become so universally accepted – and the model simulations underpinning central banks’ decisions have become so complex – that few are willing to question it.,"This summer, it was found necessary to stimulate the economy through monetary easing. However, when this policy is implemented (after the easing of restrictions), it will be necessary to take 10 trillion tenge out of circulation to prevent inflation from rising and to maintain the stability of the economy. This paradigm shift requires a model that is widely accepted and also facilitates the acceptance of central banks' policies. Therefore, it is necessary for financial regulators to take this step."
Жекелеген орталық банктер мен экономистер үшін бұл – қасиетті нәрсені қорлау болар еді.,"For individual central banks or economists, to do so would be sacrilege.","This (initiative) was intended to protect the sovereignty of the middle banks and economists.

Note: This is a literal translation. The sentence can be rephrased for better fluency in English:
""This initiative was meant to safeguard the independence of the central banks and economists.""

The word ""жекелеген"" can be translated as both ""middle"" and ""central"" depending on the context. In this case, I assumed it refers to ""central"" banks, as it is the most common meaning in a financial context."
"Орталық банктер бұл саясаттың экономикалық шығындарын, атап айтқанда қаржы нарықтарының шектен тыс толып кетуі, жинақтаушы зейнетақы жүйелеріндегі қаржылық жыртықтарды жамау қажеттігі, байлар мен кедейлер арасында теңсіздіктің артуы сияқты мәселелерін толық жоққа шығармайды.","Central banks do not completely deny the economic costs that these policies imply: exuberance in financial markets, financing gaps in funded pension systems, and deeper wealth inequality, to name just a few.","The middle banks have not yet fully resolved the issues of economic losses caused by the debt obligations they have taken on, the need to consolidate debt burdens in financial systems of borrowers and lenders, and the increasing problems of maintaining equilibrium between supply and demand."
Бірақ инфляцияның нақты белгіленген межесіне жету үшін бұл – оңтайлы баға.,But these costs are deemed an acceptable price to pay to reach the clearly defined inflation level.,"However, this is the price to reach the officially announced inflation rate."
"Бірақ, соңғы жылдары жүргізілген саясат материалдық емес активтерге орын қалдырмады, тұрақсыз саяси жағдай, геосаяси тартыстар, қаржы нарықтарындағы тәуекелдің артуы – бұлар модельді бағытынан тайдыруы мүмкін.","Yet the policies pursued in recent years have given no room for the intangibles – unstable political environments, geopolitical tremors, or rising risks on financial markets – that can send models off course.","However, we have not connected the materials of the policies implemented in recent years to active actors, taking into account the current political situation, geopolitical tensions, and the worsening of the debt trap - all of these factors suggest the need for a review based on the model."
"2008 жылғы дағдарыс дәлелдегеніндей, тәуекелді қалыпты нормада белгілеудің өзі іске алғысыз болып қалды.","As the 2008 financial crisis illustrated, the normal distribution of risk was useless for predictions.",According to the data from 2
"Кейнс белгісіздік тұтынушы мен инвестордың үмітін азайтатындай күшті болса, онда ақша-несие саясаты тиімсіз болып қалады дегенді айтудан шаршаған емес.",Keynes never tired of arguing that monetary policy becomes ineffective if uncertainty is sufficient to destabilize the expectations of consumers and investors.,The claim that Keynes's animal spirits only negatively affect the confidence of entrepreneurs and investors is not convincing.
Өлім жазасы Бангладештегі есірткі саудасын тоқтатпайды,Bangladesh’s Deadly War on Drugs,"The education certificate is not recognized in Bangladesh.

Note: The Kazakh language uses a different alphabet (Cyrillic) than English. The above text was written in the Latin alphabet using the so-called ""Latinized Kazakh alphabet"" which is a way to write the Kazakh language using the Latin alphabet."
"ЛОНДОН – Аудионың сапасы нашар, атылған оқтың үні қатты естіледі, сонда да Экрамул Хактың даусын жазбай танисың. Бангладештің оңтүстік-шығысында тұратын мемлекеттік қызметкер Хакты мамырдың 26-сында әйелімен телефонмен сөйлесіп тұрған кезінде полиция атып өлтірген.","LONDON – The audio quality is poor and the sound of gunshots muffled, but the agony in Ekramul Haque’s voice is unmistakable. On May 26, while speaking with his family by phone, Haque, an elected official in southern Bangladesh, was gunned down by police in an apparent extrajudicial killing.","LONDON - Like the sound of an audio that has been turned up too loud, the value of the education he received has increased, and then you will learn about the incident of Ekramul Haque's arrest. A government worker named Haque, who was touring the eastern part of Bangladesh, was arrested by the police when he was talking on the phone on the 26th day of the month."
"Бангладештің ресми орындары “Экрамул Хак – есірткі сатушы және ол атыс кезінде қаза тапты” дейді. Ал күйеуін өлтіріп жатқанда оны телефонмен тыңдап тұрған әйелінің айтуынша, полицейлер оны өлтіріп, сол жерге есірті тастап кеткен.","Bangladeshi authorities insist Haque was a drug dealer who died in an exchange of gunfire, but the audio evidence – captured by his wife as she listened to her husband die – suggests that the officers involved killed him and then planted drugs at the scene.","The official residence of Bangladesh stated, ""A suspicious person who introduced himself as Ekramul Haque was found at the location and arrested immediately."" When the described person was being taken away, he introduced himself by phone, and the police arrested him on the spot."
Бұл аудиожазба Банладештің есірткімен күрестегі жаңа стратегиясының олқылығын көрсетеді.,The recording casts a disturbing light on Bangladesh’s new drug-control strategy.,This audio book reveals the effectiveness of Bangladesh's new strategy.
"Премьер-министр Шейх Хасина үкіметтің есірткімен күрес саясатын қайта қараған мамыр айынан бері 25 мыңға тарта адам сот шешімінсіз түрмеге қамалып, 200-ге жуық кісі оққа ұшқан.","Since May, when Prime Minister Sheikh Hasina revamped her government’s war on drugs, an estimated 25,000 people have been arbitrarily imprisoned, and at least 200 have died in alleged shootouts.","Following the re-examination of the bail policy by Prime Minister Sheikh Hasina, 25,000 people have been released from jail without bail, and 200 have been released from quarantine."
Елдегі ахуал Филиппин президенті Родриго Дутертенің есірткімен күрестегі тым қатыгез саясатын еске түсіреді.,The parallels to President Rodrigo Duterte’s brutal drug crackdown in the Philippines are chilling.,"In the country, a strict drug policy has been introduced according to the order of Philippine President Rodrigo Duterte."
Онда адам құқықтары жиі бұзылады және 2016 жылдан бері 20 мыңнан астам кісі өлтірілген.,"There, human rights are routinely violated and more than 20,000 people have been slaughtered since 2016.","Then the person violated the rules and was fined 20 times from 2016 to 2018.

Note: The Kazakh text mentioned ""20 мыңнан астам"" which means ""20 times from"" and it was assumed that the time period was from 2016 to 2018, based on the context."
"Дутерте бастаған науқанды халықаралық қауымдастық жұмыла сынап жатса, Хасинаның “тазалау” операциясына көп назар аударылмай келеді.","While Duterte’s campaign has drawn international condemnation, Hasina’s purge has been subject to less scrutiny.",If the global community pays attention to
Халықаралық қауымдастық сыни пікір білдірмеген соң үкімет те шектен тыс қатігез әрекеттерге көшкен сыңайлы.,The relative lack of international criticism seems to have emboldened the government to act even more ruthlessly.,"After not giving consideration to public solidarity, the government has taken tens of measures in a hasty manner.

Note: This is a loose translation, as the Kazakh language can be quite nuanced and context-dependent. The original Kazakh sentence seems to imply criticism of the government for taking numerous measures without properly considering public solidarity or input."
"Бангладеште есірткі қылмыстарына өлім жазасы бұрыннан бар болғанымен, өте сирек қолданылып келген.","While the death penalty for drugs has existed in Bangladesh for decades, it has rarely been used.","Before the death penalty was abolished in Bangladesh, it was widely used."
"Парламент үкімет ұсынған заң жобасын мақұлдаса, бұл жағдай түбірімен өзгеруі мүмкін.",This could change dramatically if Parliament approves the government’s bill.,"The parliament can approve changes to the government-submitted bill, depending on the type of situation."
"Үкіметтің есірткімен аяусыз күрес бастауының, “ябаны” аз мөлшерде де сақтауға рұқсат бермеуінің кесірінен есірткі пайдаланатындар мен ең төменгі деңгейдегі есірткі сатушылар да өлімге кесілуі мүмкін.","The ferocity of the authorities’ anti-drug campaign, together with the extremely low threshold for yaba possession, means that even people who use drugs and low-level dealers could face execution.","The use of counterfeit currency at the beginning of the money circulation, both those who use it in small quantities in the shadow economy and large-scale sellers of counterfeit currency are at risk of death."
"Үкімет сендіруге тырысқанымен, өлім жазасы есірткі сататын топ басшыларын құрығына іліп жатқан жоқ.","Despite what governments claim, the death penalty for drug offenses does not target kingpins.","You have not yet reached the level of competence required to be admitted to the group of those who have begun to study the fundamentals of knowledge.

In this Kazakh sentence, ""үкімет"" means ""competence"" or ""level of skill,"" ""сендіруге"" is a form of the word ""sen"" (you), ""тырысқанымен"" means ""required for studying,"" ""өлім жазасы"" means ""fundamentals of knowledge,"" ""есірткі"" means ""beginner"" or ""starting,"" ""сататын"" is a form of the verb ""sat"" (to place), ""top"" means ""group,"" ""басшыларын"" means ""of those who have begun,"" ""құрығына"" means ""to the study of,"" ""іліп"" means ""having started,"" and ""жатқан"" means ""who have."""
Бұдан кедейлер мен ең дәрменсіздер зардап шегіп келеді.,It is the poor and the most vulnerable who suffer.,"From now on, you will be the most dear ones to me.

In this sentence, ""Бұдан кедейлер"" means ""from now on,"" ""мен"" means ""I,"" ""ең дәрменсіздер"" is a respectful way to say ""dearest"" or ""most dear,"" and ""зардап шегіп келеді"" means ""will become"" or ""will be."""
"Көршілес Мьянмадағы жан түршігерлік сүргіннен бас сауғалап Бангладешке келген босқындардың кейбірі күнкөріс үшін қылмысқа барып, осы заңның тұзағына түсуі әбден мүмкін.","This would certainly be the case in Bangladesh, where some Rohingya refugees – who have fled horrific persecution in neighboring Myanmar – rely on the drug trade for economic survival.","In order to protect themselves from the civil unrest caused by the ethnic conflicts in Myanmar, many have fled to Bangladesh, and it is always possible to take refuge under the aegis of this law."
"Оның үстіне, есірткі қолданғаны үшін өлім жазасын тағайындау оны пайдалану мен сату көлемін азайтуға септесетініне еш дәлел жоқ.","Moreover, there is simply no evidence that the death penalty for drug use lowers rates of consumption or trafficking.",There is no further evidence to support the claim that he intentionally used his elevated position and connections to obtain a fake death certificate for his own benefit.
