Source,Reference,Translation
上周，古装剧《美人私房菜》临时停播，意外引发了关于国产剧收视率造假的热烈讨论。,"Last week, the broadcast of period drama “Beauty Private Kitchen” was temporarily halted, and accidentally triggered heated debate about faked ratings of locally produced dramas.","Last week, the ancient costume drama ""Beauties' Private Dining Room"" was temporarily taken off air, unexpectedly sparking a heated discussion online about the issue of ratings manipulation in Chinese dramas."
民权团体针对密苏里州发出旅行警告,Civil rights group issues travel warning for Missouri,Citizen rights groups have issued a travel warning regarding Missouri.
由于密苏里州的歧视性政策和种族主义袭击，美国有色人种促进协会 (NAACP) 向准备前往密苏里州出游的有色人群发出旅行警告。,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,"Due to the discriminatory policies and racial discrimination in Mississippi, the National Association for the Advancement of Colored People (NAACP) has issued a travel advisory to people of color planning to visit Mississippi."
“2017 年 8 月 28 日生效的 NAACP 密苏里州旅行咨询中呼吁，因近期密苏里州发生了一系列可疑的种族性事件，所有非裔美籍旅行者、游客以及密苏里州人在密苏里州旅行时应特别注意并采取极其谨慎的态度，特此告知，”该团体的声明宣称。,"""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.","Effective August 28, 2017, the NAACP issued a travel advisory for Mississippi due to a series of recent suspicious racial incidents. The advisory urges all African American travelers, tourists, and Mississippi residents traveling to Mississippi to exercise extreme caution and awareness."
NAACP 指出，最近通过的一项密苏里州法律使得人们更难赢得歧视诉讼，该州执法也一定程度上针对少数群体，这些现象促使该组织发布了旅行警告。,"A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.","The NAACP stated that a recent law in Mississippi makes it more difficult for people to win discrimination lawsuits. The law also disproportionately targets minorities, prompting the organization to issue a travel advisory."
侵犯公民权利的行为正发生在人们身上。,"""You have violations of civil rights that are happening to people.","The text in English is:

""Acts that infringe upon citizens' rights are taking place."""
他们因肤色被停车盘问，被殴打或被杀害，”密苏里州 NAACP 主席罗德·查培尔告诉堪萨斯城星报 (The Kansas City Star)。,"They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.","They were subjected to questioning, beaten or even killed simply because of their skin color,” Rod Chapel, chairman of the Missouri NAACP, told the Kansas City Star newspaper."
“我们收到了许多投诉，数量前所未有。”,"""We are hearing complaints at a rate we haven't heard before.""","""We have received a great number of complaints, more than ever before."""
这是该组织在美国针对某个州发布的第一个此类警告。,It is the first such warning that the organization has issued for a state in the US.,This is the first such warning issued by the organization in the United States regarding a particular state.
该组织援引了密苏里大学对黑人学生的种族诽谤以及 28 岁田纳西州黑人男性托利·桑德斯的死亡事件。,"The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",This organization cites Mississippi University's allegations of racial discrimination against black students and the death of 28-year-old black male Tollison Sanders in Tennessee as evidence.
今年早些时候，桑德斯在可疑情况下死亡。他在密苏里州旅行时燃油耗尽，被密苏里州警方在无指控犯罪的情况下拘留。,"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.","This year, shortly after the new year, Sanders died under suspicious circumstances. He ran out of fuel while traveling in Missouri and was detained by the Missouri police without any charges."
咨询中还指出，密苏里州总检察长办公室最近的一份报告显示，“与白人相比，该州的黑人司机被停车盘查的可能性要高出 75%”。,The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,"The report also notes that in Mississippi, black drivers are 75% more likely to be pulled over than white drivers."
查培尔说：“该份咨询是为了提高人们的意识，警告他们的家人、朋友和同事在密苏里州可能发生的情况。”,"""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.","Cha Baibler stated, ""This consultation is aimed at raising public awareness, warning their families, friends, and colleagues about potential situations in Mississippi."""
“人们需要做好准备，无论是携带保释金前往密苏里州，还是让亲属知道自己在州内旅行”。,"""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""",People need to be prepared. Whether they are taking bail money to Mississippi or letting their relatives know they are traveling in the state.
根据联邦调查局仇恨犯罪报告计划的最新数据，密苏里州在 2015 年记录了 100 起仇恨罪行；根据罪行量，该州在全国排名第 16 位。,"Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.","According to the latest data from the Federal Bureau of Investigation's Hate Crime Report, Missouri recorded 100 hate crimes in 2015, ranking 16th in the nation in terms of the number of offenses."
旅行警告也是对密苏里州新法律的回应，该法律将使起诉住房或就业歧视企业变得更加困难。,The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.,Travel advisories are a response to a new law in Mississippi that will make it more difficult for businesses to discriminate against housing or employment based on discrimination.
此前，美国各州通过了移民执法法律，要求当地执法部门拘留移民违规人员，美国公民自由联盟 (ACLU) 表示此举会增加种族诉讼数量，并发布了针对德克萨斯州和亚利桑那州的旅行咨询。,"Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.","Previously, various U.S. states have enacted immigration enforcement laws requiring local law enforcement to detain individuals violating immigration regulations. The American Civil Liberties Union (ACLU) has stated that this measure will likely increase the number of racial discrimination lawsuits and has issued travel advisories regarding Texas and Arizona."
旅行警告通常是由美国政府针对其他国家发布的，但最近，咨询团体采取这一方式以应对美国境内的某些法律和趋势。,"Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.","Travel advisories are usually issued by the US government towards other countries. However, recently, consulting groups have adopted this method to address certain laws and trends within the US."
经历2015年票房猛增的“黄金时代”后，2016年整体电影市场进入了冷静期，能否突破去年440.69亿元的总票房成绩都成为一个悬念。,"After experiencing the “golden era” of a soaring box office in 2015, the film market retreated into a cooling-off period in 2016. Whether box office takings could surpass last year’s total of RMB44.069 billion is questionable.","Following the explosive growth of the ""Golden Age"" in 2015, the overall film market in 2016 entered a period of calm. Whether it can surpass the total box office revenue of 440.69 billion yuan from the previous year remains a mystery."
从国家统计局公布的数据看，10月，北京新房和二手房价格双双降温，环比仅上涨0.6%和1.1%。,"Data from the National Bureau of Statistics revealed that in October, prices of new and second-hand residential properties cooled, up 0.6% and 1.1% month-on-month, respectively.","Based on data released by the National Bureau of Statistics, in October, both new and second-hand housing prices in Beijing cooled down, with year-on-year increases of just 0.6% and 1.1% respectively."
现任欧足联首席技术官的卢佩斯库在本次大会上做了一份关于2016年欧锦赛以及上赛季欧冠联赛的技术报告。,"Lupekscu, the current Chief Technology Officer of UEFA, made a technical report on the 2016 UEFA Euro and the last season of European Champions League at the meeting.","The current chief technical officer of UEFA, Luís Passo, presented a report on the technical aspects of the 2016 European Championship and the previous season's Champions League at this conference."
